TrialConfig.ScenePerlinSurfaceConfig.ContainerConfig.MovementSpeed,TrialConfig.MetaConfig.Condition.Scene.View.Heading,TrialConfig.MetaConfig.Condition.Target.SurfaceOffset,TrialConfig.MetaConfig.StimulusLevel.BiasPercentage,TrialResponse.AgainstResponseProbability.mean,TrialResponse.AgainstResponseProbability.sem,TrialResponse.AgainstResponseProbability.count
1.0,15.0,0.22,40,0.9659863945578231,0.015001525056491867,147
1.0,15.0,0.22,80,0.9795918367346939,0.011701677124101957,147
1.0,15.0,0.22,120,1.0,0.0,147
1.0,15.0,0.22,160,1.0,0.0,148
1.0,15.0,0.22,200,0.9797297297297297,0.011623160790340053,148
1.0,15.0,1.23,-200,0.027210884353741496,0.013464934705351352,147
1.0,15.0,1.23,-160,0.07482993197278912,0.021775695458396454,147
1.0,15.0,1.23,-120,0.10810810810810811,0.025611002242126642,148
1.0,15.0,1.23,-80,0.39864864864864863,0.04038319037873307,148
1.0,15.0,1.23,-40,0.8243243243243243,0.031386739763853796,148
1.0,15.0,1.23,0,0.918918918918919,0.02251332777932548,148
1.0,15.0,1.23,40,0.9726027397260274,0.013556179505392849,146
1.0,15.0,1.23,80,0.9726027397260274,0.013556179505392849,146
1.0,15.0,1.23,120,0.9931972789115646,0.006802721088435373,147
1.0,15.0,1.23,160,0.972972972972973,0.013374909710956583,148
1.0,15.0,1.23,200,0.9932432432432432,0.006756756756756756,148
1.0,15.0,4.7,-200,0.027210884353741496,0.013464934705351353,147
1.0,15.0,4.7,-160,0.06802721088435375,0.02083850319731358,147
1.0,15.0,4.7,-120,0.13513513513513514,0.028196785457151416,148
1.0,15.0,4.7,-80,0.7534246575342466,0.03579404139909803,146
1.0,15.0,4.7,-40,0.8843537414965986,0.026466857201419176,147
1.0,15.0,4.7,0,0.9863945578231292,0.009587496895051407,147
1.0,15.0,4.7,40,0.972972972972973,0.01337490971095658,148
1.0,15.0,4.7,80,0.9726027397260274,0.013556179505392849,146
1.0,15.0,4.7,120,0.9795918367346939,0.011701677124101955,147
1.0,15.0,4.7,160,0.9795918367346939,0.011701677124101957,147
1.0,15.0,4.7,200,0.9797297297297297,0.01162316079034005,148
1.0,25.0,1.23,-200,0.013513513513513514,0.009522939888641405,148
1.0,25.0,1.23,-160,0.04081632653061224,0.016375381208395275,147
1.0,25.0,1.23,-120,0.08843537414965986,0.0234979682521104,147
1.0,25.0,1.23,-80,0.4594594594594595,0.04110352489748086,148
1.0,25.0,1.23,-40,0.9324324324324325,0.02070232682386797,148
1.0,25.0,1.23,0,0.9527027027027027,0.017508066744418013,148
1.0,25.0,1.23,40,0.9795918367346939,0.011701677124101957,147
1.0,25.0,1.23,80,0.9795918367346939,0.011701677124101955,147
1.0,25.0,1.23,120,0.9863945578231292,0.009587496895051407,147
1.0,25.0,1.23,160,0.9864864864864865,0.009522939888641405,148
1.0,25.0,1.23,200,0.9931972789115646,0.006802721088435374,147
3.0,15.0,1.23,-200,0.02040816326530612,0.011701677124101957,147
3.0,15.0,1.23,-160,0.02040816326530612,0.011701677124101955,147
3.0,15.0,1.23,-120,0.08108108108108109,0.022513327779325482,148
3.0,15.0,1.23,-80,0.5170068027210885,0.041356350546877384,147
3.0,15.0,1.23,-40,0.8851351351351351,0.026299029712895036,148
3.0,15.0,1.23,0,0.9594594594594594,0.01626669840381536,148
3.0,15.0,1.23,40,0.9931972789115646,0.006802721088435373,147
3.0,15.0,1.23,80,0.9794520547945206,0.011781261320363955,146
3.0,15.0,1.23,120,0.9863945578231292,0.009587496895051407,147
3.0,15.0,1.23,160,0.9931972789115646,0.006802721088435374,147
3.0,15.0,1.23,200,1.0,0.0,148
